,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
20,25862,38781,25389,36377,38968,34922,86003,56351,45841,26598,19862,47612,54033,62802,63853,34296,40605,15676,72265,22751,0,22364,41799,60896,45536,41848,19025,23526,23790,11637,33882,23147,54258,33766,32377,33483,49909,26919,100506,30518,88184,3651,18432,34665,24816,15433,16623,40102,80357,55811,31499,35599,13418,14054,68055,51775,27784,47402,25286,26477,32067,26913,26996,17039,39560,34582,65951,67870,38902,39958,21416,22305,21361,34063,30847,22204,66124,30524,20538,30143,50685,33789,9381,46208,11859,25719,22032,43192,6167,29957,24635,15853,13325,63934,34939,82121,28351,27591,33317,6672,26312,16012,37890,34612,23316,34295,68114,29659,95185,20843,91303,29151,37221,28804,41888,34302,39109,20321,35247,31546,43033
21,44929,25847,44456,54560,40688,53989,105070,43417,47365,45666,38929,49136,73100,59217,82921,53363,59672,34743,91332,41818,22216,0,60866,57310,41950,60916,38092,42593,42857,11059,20948,33411,54972,52833,51444,52550,68976,45986,119573,49586,107251,22643,37499,53732,33793,34500,35690,48554,67423,42877,50566,32013,34565,33122,87122,50858,46851,48926,44353,45544,51134,13979,23410,36106,58627,53649,85018,86937,57969,36372,40483,39034,38014,44592,49914,41271,85191,49591,37499,49211,69753,52856,28448,65275,33006,44786,41099,44716,27314,26372,43702,36078,32392,83001,54006,69187,47419,46658,52384,25739,45379,35080,56957,53679,42383,53362,55180,47843,114252,39910,110370,48218,33635,47871,60956,53369,57293,39388,54314,50613,62100
22,19515,78019,20807,37776,45589,11474,48430,86889,53081,23223,34099,54851,23849,82276,26280,14696,7525,41879,34692,24208,42390,61602,0,82183,56694,16994,24727,26880,21444,50875,73119,37159,61497,11030,17678,16816,19725,20704,62933,20464,50611,39722,30095,31676,40132,33226,29886,45554,119595,95048,20668,55073,44713,36222,37871,59219,19086,54642,24988,24965,17723,66151,47045,34745,3309,18984,28378,30297,17739,51603,27724,34373,35598,40389,16149,25054,28551,27149,34775,14666,20501,10823,33308,16024,48614,22730,28340,49664,47961,44425,30943,44695,39528,26361,18955,121359,22757,17410,16382,36898,21496,42119,13036,15954,21538,13111,107352,35985,57612,27893,53730,22540,54846,20579,8808,17728,37565,26023,15963,23322,20565
23,64905,32302,64196,65938,41387,75046,126127,14889,48064,64547,53291,49834,94158,20230,103978,74421,80730,68107,112390,61559,59357,55899,81923,0,42648,81973,61902,58777,67390,48200,33852,45668,45724,73891,72501,73607,90034,65082,140631,73370,128309,59784,58111,64976,46050,63924,55266,49252,80237,40749,74350,29586,70826,66486,108180,51557,70635,49625,68885,59430,72192,43600,39169,56450,79684,74706,106076,107995,78330,37071,65497,51292,50271,52924,70972,62433,106248,68472,49757,70091,90810,73913,59421,86333,70147,63667,66114,45414,64455,42131,68716,70808,65756,104058,77790,59050,66300,67539,73842,62880,64260,54348,78015,74820,66915,74419,76966,57293,135310,65666,131428,72002,34334,69395,82013,74427,68670,61315,75371,69494,83157
24,39011,56818,38577,36978,12324,49152,100233,47389,11270,38652,34483,8521,68263,42776,78083,48526,54835,49299,86495,35999,43859,40401,56029,42683,0,56078,40395,33686,42769,32702,51919,27091,13932,47996,46607,47713,64139,39187,114736,47475,102414,44286,38418,36016,28975,45116,34146,18985,98395,63296,48455,15573,52019,47678,82285,9819,44741,17923,45136,33535,46297,44950,23019,37643,53790,48812,80181,82100,48063,15031,43990,32518,31464,23964,45077,39431,80354,42578,30950,44196,64915,48019,40614,60438,54649,37772,44606,15147,48957,25363,47209,52001,46949,78164,51895,76225,40405,41644,47947,44204,38365,37272,52120,48925,42863,48524,86152,28333,109415,44159,105533,46107,12980,43501,56118,48532,39710,39807,49477,43599,53261
25,18687,77191,19980,30169,44761,12050,60564,86062,49244,22396,33271,51015,29472,81449,38414,11538,12195,41051,46826,23381,41563,60774,16360,81356,55867,0,23900,26053,20617,50047,72292,36332,57510,8509,16925,14357,25348,19877,75067,21039,62745,38895,29267,30849,39304,32399,29059,38012,118767,94221,21244,54245,43886,35395,43494,58392,19661,47463,24160,24138,16896,65323,46217,33918,14121,16899,40512,42431,9937,50775,26896,33546,34770,39562,15321,24226,40685,26322,33947,13839,26125,11399,32481,21647,47786,21902,27513,42121,47134,43597,30116,43868,38701,38495,19531,120531,21930,16534,16958,36071,20668,41292,5927,16530,20711,10652,106524,35158,69746,27066,65864,23116,54019,20074,13478,13871,31101,25195,13504,22495,5005
26,8165,54496,8223,26938,29485,17225,68306,66371,36977,9937,13394,38748,36336,61758,46157,16599,22909,18356,54568,6090,18867,38079,24102,61665,40591,24152,0,8649,6094,27352,49596,16679,45394,16069,14680,15786,32212,10257,82809,12822,70487,16199,9390,18004,19651,9703,9182,30325,96072,71525,13802,34555,21190,12699,50358,43116,10087,38538,7589,10059,14370,42628,26527,14041,21863,16885,48255,50173,21205,35500,4201,14379,14893,24286,13151,4015,48427,13863,14070,12447,32989,16092,9785,28511,25091,9057,4817,34433,24439,23907,7420,21172,16005,46237,17242,97836,11690,9894,15620,13375,9650,18596,20193,16915,5619,16598,83829,19882,77488,4370,73607,11454,36177,11107,24192,16605,23892,2132,17550,14884,25336
27,9094,58941,8661,19764,22650,19235,70316,63295,30142,8735,12985,31913,38346,58683,48166,18609,24918,22916,56578,3923,23312,42524,26112,58590,33755,26161,8134,0,12776,31797,54041,13566,38559,18079,16690,17796,34222,9270,84819,17558,72497,20644,9249,16802,16538,15296,7470,23489,100517,75970,18538,31479,25635,18292,52368,36280,14824,31703,14229,3710,16380,47073,23451,13899,23873,18895,50264,52183,23214,28664,11729,8229,11652,17450,15160,7267,50437,12661,12406,14279,34998,18102,14230,30521,29536,7855,12346,27597,28884,20831,14949,25617,20565,48247,21978,97503,10488,11727,18030,17820,8448,22164,22203,19008,12301,18607,88274,13047,79498,11899,75616,16191,31907,13584,26201,18615,22690,7547,19560,13682,27346
28,4614,59753,5453,26515,31494,13674,64755,71985,38986,9128,19008,40756,32785,67372,42606,13048,19358,23613,51017,9907,24124,43336,20551,67279,42599,20601,6461,12785,0,32609,54854,22293,47403,12518,11129,12235,28662,7204,79258,8967,66936,21457,15004,17581,25265,14961,14795,32333,101329,76783,9947,40169,26448,17956,46807,45124,6233,40547,4198,10870,10819,47885,32141,19654,18312,13334,44704,46622,17654,37508,9458,19992,20507,26294,9600,7900,44876,13054,19684,8896,29438,12541,15043,24960,30348,8635,10075,36441,29696,29520,12677,26430,21263,42686,13387,103093,9257,6343,11765,18632,7401,23854,16642,13060,776,13047,89086,21890,73937,9627,70056,7018,40751,7272,20641,13054,23470,7757,13999,12361,21785
29,34415,27571,33942,44930,33064,43475,94556,45141,39741,35152,28415,41512,62586,51592,72407,42849,49159,24229,80818,31304,11702,11154,50352,49686,34326,50402,27578,32079,32343,0,22672,25787,47348,42319,40930,42036,58462,35472,109059,39072,96737,12130,26985,43218,26169,23986,25176,40929,69147,44601,40052,24389,24051,22608,76608,43234,36337,41302,33839,35030,40620,15703,15786,25592,48113,43135,74505,76423,47455,28748,29969,30859,29914,36968,39400,30757,74677,39077,29091,38697,59239,42342,17934,54761,22492,34272,30585,37092,16800,18747,33188,25564,21878,72487,43492,70911,36905,36144,41870,15225,34865,24566,46443,43165,31869,42848,56904,38212,103738,29396,99856,37704,26011,37357,50442,42855,47662,28874,43800,40099,51586
30,56087,9850,55614,65718,51846,65147,116228,22636,58523,56824,50087,60294,84258,47670,94079,64521,70831,45901,102490,52977,33375,20636,72024,33848,53108,72074,49250,53751,54016,22218,0,44569,66130,63991,62602,63708,80135,57144,130731,60744,118409,33802,48657,64891,44951,45658,46848,59712,56847,26880,61724,43172,45723,44280,98280,62017,58010,60084,55511,56702,62292,9909,34568,47264,69785,64807,96177,98095,69127,47530,51641,50192,49172,55750,61073,52429,96349,60749,48658,60369,80911,64014,39607,76433,44164,55944,52258,55874,38473,37530,54860,47237,43550,94159,65164,53190,58577,57816,63542,36898,56537,46238,68115,64837,53541,64520,43274,59001,125410,51068,121529,59376,44793,59029,72114,64527,68451,50546,65472,61771,73258
31,19436,48344,18767,21349,16599,29578,80659,50277,23472,19078,7861,25243,48689,45664,58509,28952,35261,22677,66921,16129,23074,31927,36454,45571,26881,36504,16473,13308,21960,24228,43445,0,31889,28422,27033,28139,44565,19613,95162,27901,82840,20406,12681,20387,3211,18494,9836,23349,89920,66183,28881,18461,25397,21056,62711,29406,25167,25033,23456,13961,26723,36476,10433,11021,34215,29238,60607,62526,33557,20656,20068,5823,4842,14475,25503,17003,60780,23003,4327,24622,45341,28444,13992,40864,29297,18198,20684,20823,28645,7812,23287,25379,20326,58589,32321,84484,20831,22070,28373,17582,18791,11666,32546,29351,21486,28950,77677,14631,89841,20237,85959,26533,20082,23926,36544,28958,24081,15885,29902,24025,37688
32,44021,69466,43588,41680,17335,54162,105243,60037,12210,43662,39624,11423,73273,41274,83094,53707,59845,54440,91505,41009,54837,53049,61039,46532,13860,57681,45405,38696,47780,45350,64567,32232,0,53006,51617,51241,69149,44197,119746,52485,107424,52169,43428,41027,33761,50257,39157,20031,106469,53108,53465,28221,57160,52819,87295,7908,49751,11082,50146,38545,51307,57598,35667,42784,58800,53822,85191,87110,49108,21389,49000,37529,36605,28974,50087,44442,85364,47588,36090,49207,69926,53029,45755,65448,61060,42782,49616,16193,60408,36480,52219,57142,52089,83174,56905,65925,45415,46654,52958,49344,43375,42215,57130,53935,47874,53535,98799,33344,114425,49169,110543,51118,24632,48511,61128,51720,44413,44818,54658,48609,54306
33,10669,69173,11962,28724,36743,5192,54584,78043,44235,14378,25253,46006,22615,73430,32435,4181,7352,33033,40847,15362,33544,52756,10380,73337,47848,8595,15881,18035,12598,42029,64274,28314,52652,0,8869,6301,18491,11858,69088,14182,56766,30877,21249,22831,31286,24380,21040,36541,110749,86202,14386,46227,35868,27376,36636,50373,11712,45796,16142,16120,8878,57305,38199,25899,8141,8843,34533,36452,11813,42757,18878,25527,26752,31543,7303,16208,34705,18303,25929,5821,19267,4541,24463,14789,39768,13884,19495,40650,39116,35579,22097,35850,30682,32515,12673,112513,13912,8516,10100,28052,12650,33274,4637,9672,12693,2596,98506,27140,63766,19047,59885,15167,46000,12056,8635,7213,28719,17177,5448,14477,12166
