,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
20,646007,893497,609604,869783,918665,892519,2061240,985746,1088254,622901,470909,1133195,1271316,1500049,1582697,872675,1014497,376379,1716806,526520,0,469633,1038004,1324343,996245,1004194,476843,529791,589859,248124,791627,536505,1328387,873738,794025,858466,1132008,651168,2365666,738953,2109023,77526,386079,739106,472023,342868,389967,955344,1329623,1382664,733293,803299,159266,308419,1459468,1238470,681631,1147354,593993,606150,786003,638302,574178,368761,1001879,846247,1630196,1668897,988760,924872,530214,519583,486265,786603,775428,534087,1626645,685724,469005,761136,1242563,863310,211135,1159139,129538,608691,541996,1024445,89696,645777,578625,188591,302533,1566644,801159,2017242,648609,709019,806810,151316,612530,313101,962253,805905,583058,841316,1052041,725394,2271499,462467,2200161,719786,840647,666915,1023794,870765,905787,505754,877519,693612,992194
21,1072546,549987,1036143,1226383,937074,1319059,2487780,642236,1098567,1049440,897449,1143508,1697855,1399821,2009236,1299215,1441036,802918,2143345,953060,464536,0,1464543,1224115,896017,1430734,903382,956330,1016398,226000,448117,717343,1276703,1300278,1220565,1285005,1558547,1077707,2792206,1165493,2535562,500754,812618,1165646,714372,769407,816506,1128287,986113,1039154,1159833,703071,623987,734959,1886007,1174748,1108170,1157667,1020533,1032690,1212542,294792,473950,795301,1428419,1272786,2056735,2095436,1415299,824644,956753,850758,809823,956269,1201968,960627,2053184,1112263,806992,1187676,1669102,1289850,637674,1585679,594259,1035230,968535,1034759,554418,545549,1005164,777155,729072,1993183,1227699,1673732,1075149,1135558,1233350,577855,1039070,739641,1388792,1232444,1009598,1267856,708530,1081995,2698038,889006,2626700,1146325,740420,1093454,1450334,1297304,1262387,932293,1304058,1120152,1418733
22,427512,1899717,474703,703545,1122178,222876,1067602,1895831,1296462,506180,834661,1341403,431855,2022703,589058,265081,97564,1040191,723167,568193,1045203,1475853,0,1981972,1391865,268492,589723,610093,480556,1254344,1797847,887274,1536595,208194,354478,307344,292548,462174,1372027,416416,1115384,977027,714984,658845,946859,791835,714386,907942,2335843,2388884,403306,1325953,1043092,838719,620007,1452836,366130,1355562,510526,582896,354128,1644522,1124748,839161,36243,377640,636557,675258,304308,1283065,657230,793911,850016,940724,335881,589049,633006,569003,832756,310594,403102,204443,837120,319679,1090897,528429,669012,1004247,1132480,1058578,705641,1040382,966345,573005,398312,3023462,490768,363879,326104,906300,478959,972678,226551,313401,485085,227115,2058261,879515,1277860,661262,1206522,445394,1373629,406702,106861,328624,742265,618634,279008,452995,294158
23,1578267,291175,1552816,1634907,1002897,1839869,3008590,136106,1164390,1559629,1258686,1209331,2218665,452027,2530046,1820025,1961846,1630115,2664156,1469732,1306320,1210824,1985353,0,961840,1951544,1491769,1401738,1621901,1067783,311488,1101017,1112290,1821088,1741375,1805816,2079358,1582095,3313016,1743345,3056372,1342538,1361524,1580576,1098046,1517084,1300804,1194110,941403,854488,1737685,674346,1629790,1562156,2406817,1240571,1686023,1223490,1626036,1425134,1733352,508784,867234,1313904,1949229,1793596,2577545,2616247,1824075,890467,1574695,1234433,1193497,1273967,1722778,1490844,2573994,1622452,1190666,1707976,2189912,1810660,1423819,2106489,1436042,1545419,1586477,1100582,1396201,938834,1623106,1627080,1556269,2513993,1805551,1463131,1585337,1655858,1777946,1419638,1549258,1256138,1909603,1799131,1615101,1788666,733941,1422481,3218848,1578727,3147510,1724178,806243,1655545,1971144,1818114,1670912,1469670,1824868,1630340,1939543
24,978260,1307049,959144,903585,277339,1239862,2408583,875147,232729,959622,808238,176800,1618659,1002019,1930039,1220018,1361840,1179667,2064149,883777,978680,883184,1385347,961287,0,1351537,987314,834834,1049261,740143,1205178,654636,299416,1221081,1141368,1205809,1479351,982089,2713009,1143338,2456365,1014898,928086,849253,635464,1066636,849189,408941,1743174,1404480,1137679,305269,1179342,1111708,1806810,197461,1086016,409718,1048831,825127,1133345,1051853,521823,863456,1349222,1193590,1977538,2016240,1038906,305779,1070239,796346,743049,542644,1122771,975591,1973988,1022445,740218,1107969,1589905,1210653,973371,1506482,1108403,945412,1082021,315412,1068561,532472,1118650,1176632,1105821,1913987,1205544,2157108,985330,1055852,1177939,1042551,949252,793555,1309596,1199124,1053790,1188659,1465592,691158,2618841,1074272,2547504,1124171,246017,1055539,1371137,1218108,939589,965214,1224861,1030334,1071796
25,383526,1855731,430717,414294,1078192,210247,1283383,1851845,937098,462194,790675,982039,552647,1978717,804840,113129,203342,996205,938949,524207,1001217,1431867,260147,1937986,1347879,0,545737,566107,436570,1210358,1753861,843288,1169031,131215,299310,256268,413339,418188,1587809,403786,1331166,933041,670997,614859,902873,747849,670400,688886,2291857,2344898,390677,1281967,999106,794733,740799,1408850,353500,935943,466540,538910,310142,1600536,1080762,795175,224022,283964,852339,891040,91092,1239078,613244,749925,806030,896738,291895,545063,848788,525017,788770,266608,523894,191813,793134,440470,1046911,484443,625026,785191,1088494,1014592,661655,996395,922359,788787,385683,2979476,446782,329401,313475,862314,434973,928692,64817,300771,441099,176040,2014275,835529,1493642,617276,1422304,432764,1329643,392102,212639,153815,364264,574648,227932,409009,39501
26,189252,1328384,166560,472047,717192,435764,1604485,1404329,891476,230136,330512,936417,814561,1531201,1125941,415920,557742,468858,1260051,133756,473869,904520,581249,1490469,986879,547439,0,173302,133103,683011,1226514,396107,1131609,416983,337270,401711,675253,258403,1908911,282198,1652267,405693,210834,346342,455693,220502,210237,704480,1764510,1817551,276538,834451,471758,267386,1002712,1047850,224876,950576,137238,238929,329248,1073189,633246,335012,545124,389492,1173441,1212142,532004,878079,85897,315929,345867,535738,318673,57924,1169890,292959,328607,304381,785808,406555,265787,702384,519564,215926,97679,800265,561147,567075,134308,469048,395011,1109889,344404,2452129,255844,252264,350055,334967,219766,401345,505498,349150,126303,384561,1486927,474529,1814743,89929,1743406,263031,871799,210159,567039,414010,429761,29591,420763,300848,535439
27,191065,1382992,171949,462608,560882,452667,1621388,1314253,735166,172427,251090,780107,831464,1441125,1142844,432823,574645,526691,1276954,65919,528478,959128,598152,1400394,830569,564342,170226,0,239271,737619,1281122,305695,975299,433886,354173,418614,692156,194894,1925814,356143,1669170,460302,157795,288633,365281,293415,163341,548170,1819118,1872159,350484,744375,526366,340299,1019615,891540,298821,794266,243075,58597,346151,1127797,543170,281973,562027,406395,1190344,1229045,548907,721769,253151,170002,196478,379428,335576,137115,1186793,235250,242256,320774,802711,423458,320395,719287,574172,158217,264933,643955,615755,477000,301562,523656,452845,1126792,418349,2452229,198135,268657,390744,389575,162057,403296,522401,411929,232471,401464,1541535,318219,1831646,257183,1760309,336976,812334,268344,583942,430913,372052,148126,437666,243139,552342
28,80075,1449339,72715,441287,778915,326588,1495309,1538432,953199,162917,464615,998140,705385,1665304,1016765,306744,448566,589812,1150875,179678,594824,1025475,472072,1624572,1048602,438263,139344,266830,0,803966,1347469,530210,1193332,307807,228094,292535,566077,143990,1799735,159530,1543091,526648,344937,315582,589796,341456,344340,766202,1885465,1938506,153870,968553,592713,388341,893536,1109573,102208,1012299,49318,239633,220071,1194144,767348,469115,435948,280315,1064264,1102966,422828,939802,206851,450032,479970,597461,209497,139327,1060713,225740,462710,195205,676631,297379,386742,593208,640519,185166,218634,861988,682101,701178,255262,590003,515966,1000712,221736,2573084,172584,143088,227387,455922,135697,522300,396322,226482,7865,275385,1607882,536252,1705567,210884,1634229,106970,1030366,88229,457863,304834,399002,168256,311587,225939,426262
29,851216,649280,814813,1074991,793084,1097728,2266449,741529,954578,828109,676118,999519,1476525,1255832,1787905,1077884,1219706,581587,1922015,731729,243206,225416,1243213,1080125,752027,1209403,682051,735000,795067,0,547410,573353,1132714,1078947,999234,1063675,1337217,856376,2570875,944162,2314231,279424,591287,944315,570383,548077,595176,984298,1085406,1138447,938502,559082,402656,513628,1664676,1030759,886840,1013677,799202,811359,991211,394085,329960,573970,1207088,1051456,1835404,1874106,1193968,680655,735422,724791,691473,812279,980637,739296,1831854,890932,674213,966345,1447772,1068519,416343,1364348,372928,813899,747205,890769,333087,401560,783833,555825,507741,1771853,1006368,1773025,853818,914228,1012019,356524,817739,518310,1167462,1011113,788267,1046525,807823,930603,2476707,667676,2405370,924995,596430,872123,1229003,1075974,1110996,710963,1082727,898821,1197403
